ts,datetime,key,value
1662095707744,2022/09/02 01:15:07,rainfallHourly2mm,0
1662095702471,2022/09/02 01:15:02,rainfallHourly2mm,0
1662095683127,2022/09/02 01:14:43,rainfallHourly2mm,0
1662095676560,2022/09/02 01:14:36,rainfallHourly2mm,0
1662095669021,2022/09/02 01:14:29,rainfallHourly2mm,0
1662095663339,2022/09/02 01:14:23,rainfallHourly2mm,0
1662095657076,2022/09/02 01:14:17,rainfallHourly2mm,0
1662095651395,2022/09/02 01:14:11,rainfallHourly2mm,0
1662095629687,2022/09/02 01:13:49,rainfallHourly2mm,0
1662095622060,2022/09/02 01:13:42,rainfallHourly2mm,0
1662095617796,2022/09/02 01:13:37,rainfallHourly2mm,0
1662095601485,2022/09/02 01:13:21,rainfallHourly2mm,0
1662095594939,2022/09/02 01:13:14,rainfallHourly2mm,0
1662095573364,2022/09/02 01:12:53,rainfallHourly2mm,0
1662095566900,2022/09/02 01:12:46,rainfallHourly2mm,0
1662095559287,2022/09/02 01:12:39,rainfallHourly2mm,0
1662095552713,2022/09/02 01:12:32,rainfallHourly2mm,0
1662095545135,2022/09/02 01:12:25,rainfallHourly2mm,0
1662095538602,2022/09/02 01:12:18,rainfallHourly2mm,0
1662095530344,2022/09/02 01:12:10,rainfallHourly2mm,0
1662095524383,2022/09/02 01:12:04,rainfallHourly2mm,0
1662095516867,2022/09/02 01:11:56,rainfallHourly2mm,0
1662095510242,2022/09/02 01:11:50,rainfallHourly2mm,0
1662095503702,2022/09/02 01:11:43,rainfallHourly2mm,0
1662095490307,2022/09/02 01:11:30,rainfallHourly2mm,0
1662095479576,2022/09/02 01:11:19,rainfallHourly2mm,0
1662095471264,2022/09/02 01:11:11,rainfallHourly2mm,0
1662095458440,2022/09/02 01:10:58,rainfallHourly2mm,0
1662095451769,2022/09/02 01:10:51,rainfallHourly2mm,0
1662095446335,2022/09/02 01:10:46,rainfallHourly2mm,0
1662095439692,2022/09/02 01:10:39,rainfallHourly2mm,0
1662095431091,2022/09/02 01:10:31,rainfallHourly2mm,0
1662095425524,2022/09/02 01:10:25,rainfallHourly2mm,0
1662095417029,2022/09/02 01:10:17,rainfallHourly2mm,0
1662095411506,2022/09/02 01:10:11,rainfallHourly2mm,0
1662095404333,2022/09/02 01:10:04,rainfallHourly2mm,0
1662095397416,2022/09/02 01:09:57,rainfallHourly2mm,0
1662095389797,2022/09/02 01:09:49,rainfallHourly2mm,0
1662095383534,2022/09/02 01:09:43,rainfallHourly2mm,0
1662095376675,2022/09/02 01:09:36,rainfallHourly2mm,0
1662095357466,2022/09/02 01:09:17,rainfallHourly2mm,0
1662095350831,2022/09/02 01:09:10,rainfallHourly2mm,0
1662095345553,2022/09/02 01:09:05,rainfallHourly2mm,0
1662095338740,2022/09/02 01:08:58,rainfallHourly2mm,0
